,ïid,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,siu_ingroup,informational_use,siu_1,siu_2,siu_3,entertainment_use,oep_1,political_efficacy,oep_2,oep_3,oep_4_data,oep_4,ofep_1,ofep_2,ofep_3,ofep_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party,SIU,three_usage,OEP,OFEP,supportNLD,supportUSDP,supportEthnicParty,supportOthersParty
217,218,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 3000-5000 friends,"2, 3, 4",3,3,4,2,3,5,3,1,3,1,1,1,0,0,0,0,1,18,7,0,1,1,4,7,4.0,3,0.63749999,0.74583334,0.41249999,0.0,0,0,1,0
218,219,More than 3 Hours,"1, 2, 3, 4, 5",1,1,1,1,1,0,between 1000-3000 friends,"1, 2, 3, 4",4,4,4,4,5,4,5,4,5,5,1,1,1,0,0,0,1,23,10,4,1,2,3,10,1.0,4,0.89999998,0.83333331,0.8125,0.25,0,0,0,1
219,220,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,"1, 2, 3",3,4,4,1,4,5,4,4,4,4,1,1,0,1,0,1,0,26,12,4,7,4,3,12,1.0,1,0.63749999,0.8125,0.66250002,0.5,1,0,0,0
220,222,More than 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 300-1000 friends,"1, 2, 4",3,4,4,1,4,5,1,4,3,3,1,1,0,0,0,0,0,36,8,4,5,2,3,10,1.0,1,0.63749999,0.8125,0.41249999,0.0,1,0,0,0
221,223,Between 1 Hour and 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 1000-3000 friends,"1, 2, 3, 4",4,5,5,2,5,4,4,2,4,4,1,1,0,0,0,0,0,33,14,4,4,5,1,13,1.0,1,0.85000002,0.88333333,0.66250002,0.0,1,0,0,0
222,224,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,3,1,4,1,1,4,5,4,1,4,4,1,1,0,0,0,0,0,33,9,4,7,5,4,3,1.0,1,0.36250001,0.72083336,0.66250002,0.0,1,0,0,0
223,225,More than 3 Hours,"1, 2, 3, 4, 5",1,1,1,1,1,0,between 300-1000 friends,"1, 2, 4",3,4,4,4,5,1,4,5,4,4,"1, 3",2,1,1,0,0,1,36,10,3,7,3,1,10,4.0,1,0.83749998,0.61250001,0.72500002,0.5,1,0,0,0
224,226,Less than 1 Hour,"1, 2, 4, 5",1,1,0,1,1,0,under 300 friends,"1, 2, 3, 4",4,5,3,1,3,3,2,5,5,5,1,1,1,1,0,0,1,21,1,4,7,2,3,10,1.0,1,0.60000002,0.73333335,0.66250002,0.5,1,0,0,0
225,227,Between 1 Hour and 3 Hours,"1, 5, 6",1,0,0,0,1,1,under 300 friends,"1, 2, 3, 4",4,5,1,1,1,5,1,3,3,3,2,1,1,0,0,0,1,35,13,5,4,5,1,13,1.0,4,0.40000001,0.80000001,0.41249999,0.25,0,0,0,1
226,228,Between 1 Hour and 3 Hours,"1, 2, 5",1,1,0,0,1,0,between 1000-3000 friends,"1, 2, 3",3,3,4,1,4,5,1,1,4,1,1,1,1,0,0,0,1,23,10,4,7,2,1,10,1.0,1,0.63749999,0.74583334,0.36250001,0.25,1,0,0,0
227,229,More than 3 Hours,6,0,0,0,0,0,1,between 300-1000 friends,3,1,2,1,1,4,5,1,1,1,4,1,1,0,0,0,1,0,40,13,4,7,2,1,13,,4,0.36250001,0.58749998,0.36250001,0.25,0,0,0,1
228,230,More than 3 Hours,6,0,0,0,0,0,1,between 3000-5000 friends,"1, 2, 3, 4",4,3,3,2,4,5,3,3,4,4,1,1,1,0,0,0,1,30,10,5,5,2,3,7,1.0,4,0.69999999,0.76666665,0.61250001,0.25,0,0,0,1
229,231,Between 1 Hour and 3 Hours,"1, 2",1,1,0,0,0,0,between 1000-3000 friends,4,1,5,4,4,1,2,2,3,4,1,1,1,1,0,0,0,0,21,8,0,1,1,3,8,2.0,1,0.51249999,0.63749999,0.41249999,0.25,1,0,0,0
230,232,Between 1 Hour and 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,3,2,4,4,5,4,3,3,3,1,1,1,0,0,0,0,28,10,4,4,2,1,10,1.0,1,0.75,0.78333336,0.5625,0.25,1,0,0,0
